song,album,popularity,danceability,acousticness,loudness,tempo,energy,estado
Andar Conmigo,Lo dije por boca de otro,43,0.619,0.46,-10.29,129.914,0.498,null
Si es Amor,Rodolfo,48,0.36,0.884,-10.815,131.275,0.317,roto
11 y 6,No se si es Baires o Madrir,48,0.475,0.961,-8.928,106.151,0.423,enamorado
Los años salvajes (Feat. Fabiana Cantilo),Los años salvajes,50,0.352,0.0111,-5.973,115.502,0.913,roto
Confia,Confia,48,0.601,0.429,-7.016,95.925,0.812,null
Naturaleza Sangre,Naturaleza Sangre,48,0.451,0.000807,-4,136.29,0.944,null
Babel,Babel,49,0.607,0.0782,-3.796,118.022,0.91,null
Por tu amor,De plaza en plaza,46,0.573,0.217,-5.336,83.003,0.571,null
Un Beso y Una Flor,Canciones para aliens,51,0.342,0.71,-6.491,86.479,0.653,null
El amor despues del amor,Esto si es cumbia,50,0.763,0.134,-5.069,96.993,0.623,enamorado
Cadaver Exquisito,Euforia,51,0.365,0.147,-11.653,178.1,0.863,null
Ambar Violeta,Ciudad de pobre corazones,50,0.637,0.861,-19.028,107.349,0.268,null
Parte del Aire,La La La,51,0.19,0.354,-15.721,208.649,0.29,null
Volver a mi,Naturaleza Sangre,48,0.586,0.0121,-5.631,114.876,0.803,null
Alguna vez voy a ser libre,Giros,52,0.742,0.281,-16.146,107.386,0.289,null
El diablo de tu corazon,Rey Sol,51,0.613,0.0535,-5.052,103.994,0.921,enojo
Detras del muro de los lamentos,EADDA9223,54,0.523,0.896,-9.093,80.106,0.59,null
11 y 6,Giros,75,0.0756,0.0756,-16.922,101.3,0.325,null
Mariposa Tecnicolor,circo beat,73,0.509,0.183,-6.647,145.088,0.887,feliz
El amor despues del amor,El amor despues del amor,72,0.641,0.00357,-6.536,94.884,0.797,null
Polaroid de locura ordinaria,Ey!,67,0.281,0.00496,-5.219,93.49,0.819,null
Al lado del camino,Abre,67,0.281,0.00496,-5.219,93.49,0.819,llorar
Giros,Giros,66,0.837,0.132,-14.708,121.872,0.377,fiesta
A rodar mi vida,El amor despues del amor,68,0.672,0.00379,-8.143,124.854,0.837,fiesta
A rodar mi vida,El amor despues del amor,68,0.672,0.00379,-8.143,124.854,0.837,feliz
Dar es dar,Euforia,63,0.635,0.0205,-8.769,103.022,0.632,feliz
Dos en la ciudad,Abre,63,0.536,0.112,-7.98,89.984,0.707,enamorado
Cable A tierra,Giros,63,0.349,0.826,-16.393,79.51,0.215,llorar
Cable A tierra,Giros,63,0.349,0.826,-16.393,79.51,0.215,roto
Tumbas de gloria,El amor despues del amor,66,0.526,0.0583,-9.66,112.298,0.611,enamorado
Fue amor,Tercer mundo,62,0.648,0.208,-8.692,117.835,0.735,llorar
Fue amor,Tercer mundo,62,0.648,0.208,-8.692,117.835,0.735,roto
Dos dias en la vida,Abre,66,0.536,0.112,-7.98,89.984,0.707,feliz
Dos dias en la vida,Abre,66,0.536,0.112,-7.98,89.984,0.707,fiesta
Yo vengo a ofrecer mi corazón,Giros,59,0.817,0.195,-16.657,119.616,0.204,llorar
La rueda magica,El amor despues del amor,63,0.631,0.0177,-7.515,118.041,0.807,llorar
Circo Beat,Circo Beat,60,0.692,0.0823,-7.991,124.139,0.741,fiesta
Sasha, Sissi y el Círculo de Baba,61,0.585,0.19,-7.959,106.892,0.73,null
Tu Vida Mi Vida,La Ciudad Liberada,57,0.735,0.134,-14.276,115.988,0.543,enamorado
Pétalo de Sal,El amor después del amor,62,0.267,0.821,-14.301,65.265,0.306,null
Tu encanto,Tu encanto,56,0.571,0.0489,-4.222,122.061,0.939,enamorado
Tu encanto,Tu encanto,56,0.571,0.0489,-4.222,122.061,0.939,fiesta
Llueve sobre mojado,Enemigos intimos,57,0.34,0.235,-4.164,201.547,0.873,enojo
Tráfico por Katmandú,EADDA9223,57,0.668,0.101,-7.004,106.021,0.914,enojo
Brillante sobre el Mic,El amor después del amor,63,0.645,0.176,-9.767,105.833,0.507,llorar
Y dale alegría a mi corazón,Tercer Mundo,60,0.618,0.671,-11.324,77.857,0.367,feliz
Y dale alegría a mi corazón,Tercer Mundo,60,0.618,0.671,-11.324,77.857,0.367,fiesta
Ciudad de Pobres corazones,Ciudad de pobres corazones,59,0.574,0.366,-7.221,99.691,0.628,enojo
La veronica,EADDA9223,59,0.42,0.842,-12.175,102.956,0.273,roto
Bello Abril,Naturaleza Sangre,53,0.433,0.379,-10.492,97.966,0.483,null
Tres Agujas,Del 63,56,0.714,0.2,-15.806,128.856,0.396,roto
Tema de Piluso,Circo Beat,54,0.555,0.312,-6.567,118.143,0.79,feliz
La balada de Donna Helena,EADDA9223,58,0.338,0.654,-5.99,85.528,0.795,enojo
Taquicardia,Giros,54,0.522,0.00635,-11.544,107.156,0.828,enojo
Gente en la calle (ft. Lali),La conquista del espacio,51,0.661,0.218,-6.939,105,0.667,null
Margarita,Yo te amo,52,0.542,0.0573,-5.632,109.946,0.676,null
